1,New South Wales,12850,Fairfield (C),12261,18434,10992,11592,15932,16190,14134,13034,12217,13449,13419,13652,12907,10541,8227,5598,4006,4240,210825
1,New South Wales,12870,Federation (A),595,1073,611,527,564,513,498,573,571,730,776,900,1006,1013,1042,689,492,425,12598
1,New South Wales,12900,Forbes (A),644,1006,542,562,581,515,531,537,485,562,546,653,583,592,567,423,333,258,9920
1,New South Wales,12930,Georges River (A),8558,12063,6560,7159,12610,15174,13685,11461,9393,9911,9318,9870,8901,7247,6267,4552,3489,4054,160272
1,New South Wales,12950,Gilgandra (A),280,428,232,196,200,237,186,199,201,213,248,315,300,265,251,206,156,116,4229
1,New South Wales,13010,Glen Innes Severn (A),435,751,441,391,398,415,395,468,435,509,526,682,721,636,614,493,293,270,8873
1,New South Wales,13310,Goulburn Mulwaree (A),1861,2822,1632,1419,1697,2052,1967,1851,1739,2086,1937,2183,1966,1901,1652,1216,762,811,31554
1,New South Wales,13340,Greater Hume Shire (A),606,1162,709,629,370,360,495,600,578,678,688,808,848,736,639,447,273,215,10841
1,New South Wales,13450,Griffith (C),1880,2573,1422,1384,1638,2048,2055,1662,1527,1578,1617,1695,1575,1333,1003,747,663,755,27155
1,New South Wales,13550,Gunnedah (A),956,1324,672,553,663,812,844,789,652,702,737,833,825,637,549,462,390,290,12690
1,New South Wales,13660,Gwydir (A),283,504,283,214,219,224,216,247,254,322,326,411,413,352,404,293,181,153,5299
1,New South Wales,13800,Hawkesbury (C),4308,6236,3601,3615,4809,4769,4403,4016,3908,4869,4620,4491,3843,3169,2825,1940,1271,1056,67749
1,New South Wales,13850,Hay (A),169,229,168,156,148,174,151,138,114,168,187,292,230,154,156,139,103,67,2943
1,New South Wales,13910,Hilltops (A),1159,1798,1013,937,903,883,824,878,996,1078,1174,1319,1289,1231,1222,841,544,528,18617
1,New South Wales,14000,Hornsby (A),8007,15251,8425,8054,9619,7554,7828,10615,11369,11715,10255,9780,8542,7236,6206,4638,3492,3833,152419
1,New South Wales,14100,Hunters Hill (A),634,1325,1071,1084,823,747,641,760,898,1097,1031,950,813,779,771,548,391,599,14962
1,New South Wales,14170,Inner West (A),10730,13573,6585,6011,14145,22048,21262,18460,15065,14905,12333,11323,9411,8080,6672,4579,3299,3399,201880
1,New South Wales,14220,Inverell (A),1106,1686,981,974,947,986,917,875,890,1083,1066,1210,1125,1103,1029,721,601,480,17780
1,New South Wales,14300,Junee (A),384,544,304,256,366,529,509,474,429,439,392,430,460,381,315,230,122,112,6676
1,New South Wales,14350,Kempsey (A),1731,2508,1401,1263,1425,1264,1588,1403,1479,1676,1843,2267,2517,2402,2142,1325,832,855,29921
1,New South Wales,14400,Kiama (A),1162,2021,1173,1072,1252,1011,1072,1263,1311,1469,1383,1645,1853,1840,1545,1171,681,761,23685
1,New South Wales,14500,Ku-ring-gai (A),5573,13210,8209,8080,8175,5335,4777,7518,8768,9963,9319,8383,6699,5727,5509,4368,3376,4614,127603
1,New South Wales,14550,Kyogle (A),432,686,458,396,320,269,247,376,423,512,654,816,883,794,662,373,244,243,8788
1,New South Wales,14600,Lachlan (A),486,695,333,245,277,361,331,383,300,300,309,394,423,339,311,234,199,169,6089
1,New South Wales,14650,Lake Macquarie (C),12367,18973,10436,9616,12012,11239,12070,12634,12164,13535,12889,13333,13173,12283,11288,8326,5688,5749,207775
1,New South Wales,14700,Lane Cove (A),2596,3501,1724,1616,2136,2947,3994,3855,3209,2801,2336,2191,1959,1565,1472,1050,675,907,40534
1,New South Wales,14750,Leeton (A),754,1046,812,771,553,644,687,557,586,671,684,786,728,564,516,409,309,266,11343
1,New South Wales,14850,Lismore (C),2221,3696,2379,2160,2467,2266,2196,2371,2598,2936,2921,3230,3423,3002,2172,1487,1035,1107,43667
1,New South Wales,14870,Lithgow (C),1093,1766,1088,940,1054,1110,1184,1179,1101,1402,1366,1637,1557,1440,1386,993,597,623,21516
1,New South Wales,14900,Liverpool (C),17417,24191,13214,12617,16543,17185,17622,17760,15609,15309,13765,13267,10976,8488,6821,4627,3198,2687,231296
1,New South Wales,14920,Liverpool Plains (A),423,736,424,403,336,329,400,385,389,480,518,543,623,540,476,403,254,191,7853
1,New South Wales,14950,Lockhart (A),217,349,166,158,145,134,150,156,146,181,199,245,246,234,187,128,86,132,3259
1,New South Wales,15050,Maitland (C),6048,9135,4850,4203,5399,6398,6544,5966,5469,5699,5245,5043,4616,4061,3499,2349,1487,1384,87395
1,New South Wales,15240,Mid-Coast (A),4300,7033,4297,3981,3828,3440,3663,3956,4209,5285,5554,7017,7964,8416,8164,5838,3837,3613,94395
1,New South Wales,15270,Mid-Western Regional (A),1600,2641,1434,1106,1108,1266,1515,1538,1423,1567,1693,1735,1688,1456,1361,1042,641,553,25367
1,New South Wales,15300,Moree Plains (A),1020,1374,726,504,751,877,872,750,766,777,888,908,801,626,553,437,244,203,13077
1,New South Wales,15350,Mosman (A),1469,2651,1590,1428,1536,1449,1894,2038,2114,2260,2223,2047,1784,1592,1678,1251,825,956,30785
1,New South Wales,15520,Murray River (A),631,1113,653,526,472,440,522,637,640,719,711,946,927,956,945,727,407,358,12330
1,New South Wales,15560,Murrumbidgee (A),232,344,240,213,254,217,215,202,179,253,248,282,298,220,194,130,105,90,3916
1,New South Wales,15650,Muswellbrook (A),1216,1713,974,785,860,1025,1197,1124,981,1086,1097,1099,899,735,625,414,278,247,16355
1,New South Wales,15700,Nambucca Valley (A),1053,1492,981,889,779,765,732,799,879,1177,1195,1648,1752,1686,1553,1102,696,683,19861
